,draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,roster_id,round,first_name,injury_status,last_name,news_updated,number,position,sport,status,team
60,863912024172847105,5,,61,618292946139164672,6770,12,5,Joe,InjuryStatus.QUESTIONABLE,Burrow,1661379351154,9,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CIN
61,863912024172847105,6,,62,605445447401689088,3199,6,5,Michael,InjuryStatus.QUESTIONABLE,Thomas,1662041157314,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NO
62,863912024172847105,7,,63,869626839986032640,4037,8,5,Chris,InjuryStatus.QUESTIONABLE,Godwin,1661634958141,14,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TB
63,863912024172847105,8,,64,605254631701970944,1689,13,5,Adam,InjuryStatus.NA,Thielen,1661644559433,19,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIN
64,863912024172847105,9,,65,605176209256583168,4040,3,5,JuJu,InjuryStatus.NA,Smith-Schuster,1661799946543,9,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.KC
65,863912024172847105,10,,66,605180610515898368,6828,4,5,AJ,InjuryStatus.NA,Dillon,1661515807242,28,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.GB
66,863912024172847105,11,,67,737782444484370432,6943,10,5,Gabe,InjuryStatus.NA,Davis,1661790946085,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
67,863912024172847105,12,,68,605263942515773440,5848,7,5,Marquise,InjuryStatus.NA,Brown,1661653861258,2,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ARI
68,863912024172847105,13,,69,605175435638145024,6904,2,5,Jalen,InjuryStatus.NA,Hurts,1661708107909,1,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PHI
69,863912024172847105,14,,70,605266609971470336,2309,11,5,Amari,InjuryStatus.NA,Cooper,1661660461368,2,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CLE
70,863912024172847105,14,,71,605266609971470336,167,11,6,Tom,InjuryStatus.NA,Brady,1662305443367,12,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TB
71,863912024172847105,13,,72,605175435638145024,5890,2,6,Damien,InjuryStatus.NA,Harris,1661793346915,37,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NE
72,863912024172847105,12,,73,605263942515773440,6151,7,6,Miles,InjuryStatus.QUESTIONABLE,Sanders,1662131149840,26,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PHI
73,863912024172847105,11,,74,737782444484370432,5844,10,6,T.J.,InjuryStatus.NA,Hockenson,1661750448951,88,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DET
74,863912024172847105,10,,75,605180610515898368,7090,4,6,Darnell,InjuryStatus.NA,Mooney,1661692205643,11,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CHI
75,863912024172847105,9,,76,605176209256583168,6130,3,6,Devin,InjuryStatus.NA,Singletary,1661575215947,26,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
76,863912024172847105,8,,77,605254631701970944,1234,13,6,Russell,InjuryStatus.NA,Wilson,1662037857626,3,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DEN
77,863912024172847105,7,,78,869626839986032640,5000,8,6,Chase,InjuryStatus.NA,Edmonds,1661678103925,2,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIA
78,863912024172847105,6,,79,605445447401689088,1535,6,6,Cordarrelle,InjuryStatus.NA,Patterson,1661625656690,84,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ATL
79,863912024172847105,5,,80,618292946139164672,4098,12,6,Kareem,InjuryStatus.NA,Hunt,1661659860883,27,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CLE
80,863912024172847105,4,,81,340485204214874112,5022,1,6,Dallas,InjuryStatus.NA,Goedert,1661708107903,88,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PHI
81,863912024172847105,3,,82,605249638039109632,5906,5,6,Dawson,InjuryStatus.NA,Knox,1661616356358,88,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
82,863912024172847105,2,,83,605279643485933568,96,9,6,Aaron,InjuryStatus.NA,Rodgers,1661516707549,12,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.GB
83,863912024172847105,1,,84,455204806886158336,7571,14,6,Rashod,InjuryStatus.NA,Bateman,1661640358927,7,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BAL
84,863912024172847105,1,,85,455204806886158336,4993,14,7,Mike,InjuryStatus.NA,Gesicki,1661962211045,88,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIA
85,863912024172847105,2,,86,605279643485933568,1426,9,7,DeAndre,InjuryStatus.SUS,Hopkins,1660701620312,10,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.INACTIVE,NFLTeam.ARI
86,863912024172847105,3,,87,605249638039109632,BUF,5,7,Buffalo,InjuryStatus.NA,Bills,,,NFLPosition.DEF,Sport.NFL,,NFLTeam.BUF
87,863912024172847105,4,,88,340485204214874112,4950,1,7,Christian,InjuryStatus.NA,Kirk,1661684704591,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.JAX
88,863912024172847105,5,,89,618292946139164672,5967,12,7,Tony,InjuryStatus.NA,Pollard,1661551811519,20,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DAL
89,863912024172847105,6,,90,605445447401689088,1339,6,7,Zach,InjuryStatus.QUESTIONABLE,Ertz,1661972139433,86,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ARI
90,863912024172847105,7,,91,869626839986032640,5185,8,7,Allen,InjuryStatus.NA,Lazard,1662216021829,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.GB
91,863912024172847105,8,,92,605254631701970944,8151,13,7,Kenneth,InjuryStatus.QUESTIONABLE,Walker,1661907054962,9,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SEA
92,863912024172847105,9,,93,605176209256583168,7525,3,7,DeVonta,InjuryStatus.NA,Smith,1661708407492,6,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PHI
93,863912024172847105,10,,94,605180610515898368,3294,4,7,Dak,InjuryStatus.NA,Prescott,1661535309568,4,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DAL
94,863912024172847105,11,,95,737782444484370432,4985,10,7,Rashaad,InjuryStatus.NA,Penny,1662158414109,20,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SEA
95,863912024172847105,12,,96,605263942515773440,7610,7,7,Trey,InjuryStatus.NA,Lance,1661814312284,5,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SF
96,863912024172847105,13,,97,605175435638145024,5955,2,7,Hunter,InjuryStatus.NA,Renfrow,1661571015371,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LV
97,863912024172847105,14,,98,605266609971470336,7611,11,7,Rhamondre,InjuryStatus.NA,Stevenson,1661783109581,38,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NE
98,863912024172847105,14,,99,605266609971470336,6803,11,8,Brandon,InjuryStatus.NA,Aiyuk,1661485202628,11,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SF
99,863912024172847105,13,,100,605175435638145024,7600,2,8,Pat,InjuryStatus.NA,Freiermuth,1661738116519,88,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PIT
100,863912024172847105,12,,101,605263942515773440,7596,7,8,Elijah,InjuryStatus.NA,Moore,1661773509616,8,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NYJ
101,863912024172847105,11,,102,737782444484370432,421,10,8,Matthew,InjuryStatus.NA,Stafford,1662331254541,9,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAR
102,863912024172847105,10,,103,605180610515898368,8112,4,8,Drake,InjuryStatus.QUESTIONABLE,London,1662014419671,5,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ATL
103,863912024172847105,9,,104,605176209256583168,8129,3,8,Dameon,InjuryStatus.NA,Pierce,1661885411784,31,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.HOU
104,863912024172847105,8,,105,605254631701970944,6826,13,8,Cole,InjuryStatus.NA,Kmet,1661721944246,85,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CHI
105,863912024172847105,7,,106,869626839986032640,2320,8,8,Melvin,InjuryStatus.NA,Gordon,1662317444703,25,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DEN
106,863912024172847105,6,,107,605445447401689088,8144,6,8,Chris,InjuryStatus.NA,Olave,1661576115496,12,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NO
107,863912024172847105,5,,108,618292946139164672,2374,12,8,Tyler,InjuryStatus.NA,Lockett,1661599219390,16,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SEA
108,863912024172847105,4,,109,340485204214874112,8138,1,8,James,InjuryStatus.NA,Cook,1661616956272,28,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
109,863912024172847105,3,,110,605249638039109632,5086,5,8,Marquez,InjuryStatus.NA,Valdes-Scantling,1661797246465,11,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.KC
110,863912024172847105,2,,111,605279643485933568,6955,9,8,James,InjuryStatus.QUESTIONABLE,Robinson,1661454304527,25,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.JAX
111,863912024172847105,1,,112,455204806886158336,1352,14,8,Robert,InjuryStatus.NA,Woods,1662159314255,2,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TEN
112,863912024172847105,1,,113,455204806886158336,5987,14,9,Alexander,InjuryStatus.NA,Mattison,1661798447402,2,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIN
