,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id
158,00-0033699,Austin Ekeler,RB,26286,153,634.0,8,29.0,0,93,112,623.0,5,-104.0,760.0,33.0,6.673318014712191,292.7,0.0,0,0,2.0,1.0,2.0,1.0,0.0,0,0,0,00-0033699,4663
159,00-0033725,Corey Clement,RB,4044,0,0.0,0,0.0,0,2,2,29.0,0,4.0,25.0,2.0,4.049936532159336,4.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033725,4651
160,00-0033757,Robert Tonyan,TE,26286,0,0.0,0,0.0,0,45,56,372.0,1,303.0,198.0,14.0,-3.6516059986779106,88.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033757,4602
161,00-0033798,Mason Schreck,TE,4044,0,0.0,0,0.0,0,2,2,6.0,0,6.0,0.0,0.0,-0.6555010332958773,2.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033798,4229
162,00-0033854,Dare Ogunbowale,RB,14154,8,27.0,1,3.0,0,13,17,95.0,0,1.0,98.0,4.0,-8.075973667320795,31.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033854,4718
163,00-0033856,Leonard Fournette,RB,24264,149,524.0,3,32.0,0,55,64,380.0,3,-48.0,420.0,20.0,8.560172033516778,179.4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033856,3969
164,00-0033857,JuJu Smith-Schuster,WR,24264,0,0.0,0,0.0,0,61,82,762.0,3,637.0,391.0,39.0,44.70110042027677,153.2,0.0,0,0,0.0,0.0,2.0,1.0,0.0,0,0,0,00-0033857,4040
165,00-0033858,Jonnu Smith,TE,20220,1,5.0,0,1.0,0,22,31,200.0,0,83.0,182.0,7.0,-0.0760118393227458,42.5,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,00-0033858,4144
166,00-0033869,Mitchell Trubisky,QB,12132,13,29.0,1,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,59.82,5.0,0,0,0.0,0.0,0.0,0.0,1073.0,4,1,0,00-0033869,3976
167,00-0033871,Corey Davis,WR,20220,0,0.0,0,0.0,0,26,48,460.0,2,657.0,96.0,24.0,17.0147269773823,84.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033871,4036
168,00-0033873,Patrick Mahomes,QB,26286,47,280.0,2,19.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,320.4,11.0,1,0,3.0,0.0,0.0,0.0,4160.0,33,1,0,00-0033873,4046
169,00-0033879,O.J. Howard,TE,20220,0,0.0,0,0.0,0,9,21,119.0,2,246.0,37.0,5.0,-3.1867429490172627,32.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033879,4055
170,00-0033881,Evan Engram,TE,26286,1,0.0,0,0.0,0,53,74,548.0,4,510.0,292.0,25.0,22.28129586658074,133.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0033881,4066
171,00-0033885,David Njoku,TE,20220,2,-8.0,0,0.0,0,48,61,523.0,3,384.0,290.0,29.0,22.85673491313355,115.5,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0,00-0033885,4033
172,00-0033891,Zay Jones,WR,24264,3,21.0,0,1.0,0,68,98,655.0,2,799.0,208.0,37.0,37.514701354553935,149.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0033891,4080
173,00-0033893,Dalvin Cook,RB,26286,213,950.0,8,42.0,0,29,44,170.0,1,-20.0,197.0,12.0,1.5288710728636943,191.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0,00-0033893,4029
174,00-0033895,Gerald Everett,TE,24264,1,0.0,0,0.0,0,48,73,490.0,2,450.0,282.0,23.0,-1.108391481461219,111.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0033895,4089
175,00-0033897,Joe Mixon,RB,22242,172,701.0,6,40.0,0,43,55,324.0,2,-15.0,343.0,12.0,10.857366234326037,193.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033897,4018
176,00-0033906,Alvin Kamara,RB,22242,143,550.0,1,26.0,0,51,68,433.0,2,75.0,405.0,15.0,-3.0506026168666067,159.3,0.0,0,0,2.0,2.0,2.0,2.0,0.0,0,0,0,00-0033906,4035
177,00-0033908,Cooper Kupp,WR,18198,9,52.0,1,4.0,0,75,98,812.0,6,704.0,422.0,42.0,16.342067479237862,201.4,0.0,0,0,0.0,0.0,2.0,1.0,0.0,0,0,0,00-0033908,4039
178,00-0033921,Chris Godwin,WR,22242,3,5.0,0,0.0,0,73,108,702.0,2,620.0,350.0,38.0,16.724440511190913,155.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033921,4037
179,00-0033923,Kareem Hunt,RB,26286,106,423.0,3,29.0,0,27,35,179.0,1,9.0,180.0,10.0,1.168515611212579,111.2,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,00-0033923,4098
180,00-0033925,D'Onta Foreman,RB,24264,147,637.0,4,31.0,1,5,9,26.0,0,-3.0,27.0,1.0,-10.932217505602033,97.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033925,4111
181,00-0033932,Kenny Golladay,WR,10110,0,0.0,0,0.0,0,4,10,51.0,0,100.0,11.0,2.0,-2.248331137263449,9.100000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033932,4131
182,00-0033936,C.J. Beathard,QB,4044,1,-1.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13999999999999999,0.0,0,0,0.0,0.0,0.0,0.0,6.0,0,0,0,00-0033936,4127
183,00-0033943,Josh Reynolds,WR,18198,0,0.0,0,0.0,0,34,52,427.0,3,642.0,107.0,23.0,13.289646721535846,94.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033943,4171
