added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Denver Broncos,andyhan4,0,23.0,[1668635079890],[{'Tampa Bay Buccaneers': 'andyhan4'}],"[1.0, 2.0, 13.0, 7.0]","[11, 12, 13, 14]",[11]
Mac Jones,ujthechamp,0,21.34,[1666874682983],[None],"[11.66, 9.68]","[8, 9]",[8]
Miami Dolphins,llatham65,0,21.0,[1669204525852],[{'Tennessee Titans': 'llatham65'}],[21.0],[12],[12]
DJ Chark,emilyhan,12,18.4,[1670383588940],[{'Mark Ingram': 'emilyhan'}],[18.4],[14],[13]
Foster Moreau,carlogesualdo,0,18.3,[1668532957816],[{'Chuba Hubbard': 'carlogesualdo'}],"[3.8, 10.8, 3.7, 0.0]","[11, 12, 13, 14]",[10]
Ryan Tannehill,alexludtke,0,17.76,[1670467894209],[{'Brock Purdy': 'alexludtke'}],[17.76],[14],[14]
Juwan Johnson,llatham65,0,17.7,[1666176605770],[{'Jason Myers': 'llatham65'}],[17.7],[7],[7]
Josh Reynolds,mattlatham,0,17.6,[1664655728361],[{'Robbie Anderson': 'mattlatham'}],[17.6],[4],[4]
Kadarius Toney,andyhan4,0,17.0,[1668353448216],[{'Deon Jackson': 'andyhan4'}],"[17.0, 0.0]","[10, 11]",[10]
Taysom Hill,julesdefwatchesftbll,25,16.88,[1665345971499],[None],"[4.54, 12.34]","[6, 13]",[5]
Kirk Cousins,llatham65,36,16.5,[1665490240785],[None],[16.5],[6],[5]
Jacoby Brissett,julesdefwatchesftbll,0,16.48,[1668098259078],[None],[16.48],[10],[10]
Ameer Abdullah,niclath95,0,16.1,[1669567140346],[None],"[13.0, 0.4, 2.7]","[12, 13, 14]",[12]
Greg Zuerlein,carlogesualdo,0,16.0,[1666310280609],[None],"[12.0, 4.0]","[7, 8]",[7]
Graham Gano,alexludtke,5,16.0,[1667927590906],[{'Jacksonville Jaguars': 'alexludtke'}],"[7.0, -2.0, 11.0]","[10, 11, 12]",[9]
Chigoziem Okonkwo,julesdefwatchesftbll,0,15.5,[1670544559428],[None],[15.5],[14],[14]
Jake Elliott,niclath95,0,15.0,[1663180507476],[None],"[5.0, 6.0, 4.0]","[2, 3, 4]",[2]
Chicago Bears,julesdefwatchesftbll,1,15.0,[1663716366011],[{'Pittsburgh Steelers': 'julesdefwatchesftbll'}],"[8.0, 7.0]","[3, 4]",[2]
Zonovan Knight,phan497,45,14.7,[1669735342780],[{'Nico Collins': 'phan497'}],[14.7],[14],[12]
Zay Jones,llatham65,0,13.8,[1666539577295],[{'Mike Gesicki': 'llatham65'}],"[8.8, 5.0]","[7, 8]",[7]
Kenny Pickett,petenotpetey,0,13.28,[1666192288997],[{'Latavius Murray': 'petenotpetey'}],[13.28],[7],[7]
Robbie Gould,anahan,0,13.0,"[1668658616518, 1670209249015]","[{'Jason Myers': 'anahan'}, {'Brett Maher': 'anahan'}]","[8.0, 5.0]","[11, 14]","[11, 13]"
Ryan Succop,jakesmyth,0,13.0,[1667518686299],[{'Brett Maher': 'jakesmyth'}],"[11.0, 2.0]","[9, 10]",[9]
Minnesota Vikings,phan497,0,13.0,[1664675340979],[{'Taysom Hill': 'phan497'}],"[7.0, 6.0]","[4, 5]",[4]
Alec Pierce,anahan,0,12.3,[1665791390163],[None],"[5.2, 2.8, 0.0, 4.3]","[7, 9, 10, 11]",[6]
Juwan Johnson,julesdefwatchesftbll,0,12.2,[1668892016264],[{'Jacoby Brissett': 'julesdefwatchesftbll'}],"[12.2, 0.0]","[11, 12]",[11]
Denver Broncos,anahan,0,12.0,[1666223891329],[{'Los Angeles Rams': 'anahan'}],"[4.0, 8.0]","[7, 8]",[7]
Carolina Panthers,anahan,0,12.0,[1669244695277],[{'Los Angeles Rams': 'anahan'}],[12.0],[12],[12]
Andy Dalton,llatham65,0,11.9,[1667389659582],[None],[11.9],[9],[9]
Irv Smith,lauramarkey,0,11.9,[1663809110836],[{'Jerick McKinnon': 'lauramarkey'}],"[4.2, 7.7]","[3, 6]",[3]
Tyler Higbee,phan497,32,11.3,[1666264171482],[{'Mac Jones': 'phan497'}],"[0.0, 11.3]","[9, 10]",[7]
Mike Gesicki,jakesmyth,5,11.3,[1666660734912],[{'Pittsburgh Steelers': 'jakesmyth'}],[11.3],[8],[7]
Juwan Johnson,lauramarkey,0,11.2,[1667751048601],[None],[11.2],[9],[9]
Darius Slayton,carlogesualdo,0,11.1,[1668698003966],[{'Atlanta Falcons': 'carlogesualdo'}],[11.1],[11],[11]
Baltimore Ravens,lauramarkey,15,11.0,[1670461002501],[{'Green Bay Packers': 'lauramarkey'}],[11.0],[14],[14]
Jacksonville Jaguars,alexludtke,0,11.0,[1666820592756],[None],"[5.0, 6.0]","[8, 9]",[8]
New York Jets,alexludtke,0,11.0,[1669214385818],[{'Cincinnati Bengals': 'alexludtke'}],"[9.0, 2.0]","[12, 13]",[12]
Brett Maher,phan497,0,11.0,[1670778427940],[None],[11.0],[14],[14]
Hayden Hurst,niclath95,0,10.9,[1662978561119],[None],"[4.9, 6.0]","[2, 9]",[1]
Las Vegas Raiders,ujthechamp,0,10.0,[1666213795337],[None],[10.0],[7],[7]
Baltimore Ravens,petenotpetey,0,10.0,[1667389542817],[{'Hunter Renfrow': 'petenotpetey'}],[10.0],[9],[9]
New York Giants,phan497,0,10.0,[1667905173978],[{'Michael Badgley': 'phan497'}],[10.0],[10],[9]
Jake Elliott,andyhan4,0,10.0,[1665932783175],[{'Michael Badgley': 'andyhan4'}],[10.0],[6],[6]
Jaylen Warren,lauramarkey,0,9.2,[1668098779766],[{'Greg Dortch': 'lauramarkey'}],[9.2],[10],[10]
Cameron Dicker,niclath95,0,9.0,[1665260976070],[None],[9.0],[5],[5]
Robbie Gould,phan497,0,9.0,[1667994427299],[{'Kyren Williams': 'phan497'}],[9.0],[10],[10]
Denver Broncos,petenotpetey,0,9.0,[1663374223820],[None],[9.0],[2],[2]
Isaiah Likely,mattlatham,0,8.9,[1666985125791],[{'Evan Engram': 'mattlatham'}],[8.9],[9],[8]
Justin Watson,llatham65,0,8.2,[1668959860064],[None],[8.2],[11],[11]
Greg Dulcich,carlogesualdo,15,8.1,[1666092068628],[{'Tevin Coleman': 'carlogesualdo'}],[8.1],[7],[6]
Cincinnati Bengals,jakesmyth,0,8.0,[1662601406556],[{'Kenny Golladay': 'jakesmyth'}],"[3.0, 5.0]","[1, 2]",[1]
Eno Benjamin,julesdefwatchesftbll,0,8.0,[1665238478374],[{'Kirk Cousins': 'julesdefwatchesftbll'}],[8.0],[6],[5]
Atlanta Falcons,julesdefwatchesftbll,0,8.0,[1667142706718],[{'Cincinnati Bengals': 'julesdefwatchesftbll'}],[8.0],[8],[8]
Chicago Bears,mattlatham,0,8.0,[1665511071821],[{'Tennessee Titans': 'mattlatham'}],[8.0],[6],[5]
Brett Maher,anahan,2,8.0,[1668987140099],[{'Robbie Gould': 'anahan'}],"[3.0, 5.0]","[12, 13]",[11]
Jason Sanders,niclath95,0,8.0,[1667144304233],[{'Los Angeles Chargers': 'niclath95'}],[8.0],[8],[8]
